"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C201, C202, C204, C205, C206, C207, C208, C209, C210, C211, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C401, C402, C403, C404, C405, C408, C409, C410, C503, C504, C506, C507, C701, C702, C703, C704, C705, C706, C707, C708, C710, C711, C1005, C1006, C1009, C1011, C1013, C1014";"C_0603_1608Metric";48;"100nF 100V";;;
2;"C203, C303, C501, C505, C508, C509, C510, C511";"C_0603_1608Metric";8;"10uF 10%";;;
3;"C301, C302";"C_0603_1608Metric";2;"27nF 5%";;;
4;"C406, C407";"C_0603_1608Metric";2;"470pF 50V";;;
5;"C502";"C_0603_1608Metric";1;"1uF";;;
6;"C712";"C_0603_1608Metric";1;"100pF";;;
7;"C1001, C1002, C1003, C1004, C1007, C1008";"C_0603_1608Metric";6;"100pF 50V";;;
8;"D501, D502, D704";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LTST-C170KGKT [GREEN]";;;
9;"D503, D504, D505, D703";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LTST-C170KRKT [RED]";;;
10;"D701, D702";"SOT-23_ONS";2;"MMBD914LT3G";;;
11;"J201, J701, J702";"PinHeader_2x02_P2.54mm_Vertical";3;"Conn_02x02_Odd_Even";;;
12;"J202, J301, J801";"PinHeader_2x03_P2.54mm_Vertical";3;"Conn_02x03_Odd_Even";;;
13;"J203, J401, J505";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03";;;
14;"J303";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
15;"J304, J1002";"PinHeader_2x04_P2.54mm_Vertical";2;"Conn_02x04_Odd_Even";;;
16;"J501";"TENSILITY_54-00164";1;"54-00164";;;
17;"J502";"TE_5227699-1";1;"5227699-1";;;
18;"J503";"USB-B-S-VT";1;"USB-B-S-X-X-VT";;;
19;"J506";"30306-6002HB";1;"3M_30306-6002HB";;;
20;"R201, R203, R204, R212, R301, R303, R306, R320, R327, R506, R701, R1003, R1008";"POT_PV36W_BRN";13;"100 kΩ";;;
21;"R202, R206, R207, R210, R211, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R302, R307, R308, R309, R310, R313, R318, R319, R322, R326, R328, R329, R502, R504, R702, R703, R704, R705, R706, R707, R708, R1004, R1005, R1009";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";39;"10kΩ 1%";;;
22;"R205, R312, R1010";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"1MΩ 5%";;;
23;"R208, R321, R1007";"POT_PV36W_BRN";3;"200 kΩ";;;
24;"R209, R323, R324, R325";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"100kΩ 1%";;;
25;"R304";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"301kΩ 1%";;;
26;"R305";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10.2kΩ 1%";;;
27;"R311";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"976kΩ 1%";;;
28;"R314";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"402kΩ 1%";;;
29;"R315";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"6.65kΩ 1%";;;
30;"R316, R317";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5kΩ 1%";;;
31;"R401, R402, R403, R507, R508, R709, R710, R712, R713, R1001";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";10;"1KΩ";;;
32;"R404, R405";"POT_PV36W_BRN";2;"5 kΩ";;;
33;"R406, R407, R501";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"500Ω";;;
34;"R408, R409, R1006";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"100KΩ";;;
35;"R503, R711";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"100Ω";;;
36;"R505";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"330Ω";;;
37;"R714, R715";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"470Ω";;;
38;"R1002";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"51KΩ";;;
39;"SW701, SW704";"PTS636SL43SMTRLFS";2;"SW_PTS636S-J_CNK";;;
