"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
40;"TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP301, TP302, TP303, TP304, TP305, TP306, TP307, TP308, TP401, TP402, TP403, TP404, TP405, TP501, TP502, TP503, TP504, TP505, TP506, TP507, TP508, TP509, TP510, TP511, TP512, TP513, TP514, TP515, TP516, TP517, TP518, TP519, TP520, TP521, TP701, TP702, TP703, TP704, TP705, TP706, TP707, TP708, TP1001, TP1002, TP1003, TP1004";"TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded";53;"TestPoint";;;
41;"U201, U202, U203, U204, U205, U301, U302, U303, U304, U305, U503, U504, U703, U704, U1003, U1004";"SOIC-8_3.9x4.9mm_P1.27mm";16;"TL082";;;
42;"U401, U705";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LM311";;;
43;"U402";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74LS08";;;
44;"U403, U406";"SOT-23-5";2;"74AHC1G125";;;
45;"U404, U405";"SOT-23-5";2;"74AHC1GU04";;;
46;"U501";"SOIC-8_3.9x4.9mm_P1.27mm";1;"REF102CU";;;
47;"U502";"R_78E_0.5_RCP";1;"R-78E5.0-0.5";;;
48;"U505";"TMH DUAL_TRP";1;"TMH 0515D";;;
49;"U506";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
50;"U702";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74LS32";;;
51;"U706";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74LS02";;;
52;"U1001";"SOIC-8_3.9x4.9mm_P1.27mm";1;"NE555D";;;
